filepath,label
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992202ea5ed167d5bce5d3/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/surprised.mpeg,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/sad.amr,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/sad.mpeg,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b7fd94c0d5726dec353/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992202ea5ed167d5bce5d3/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992099ffab6240f9f3521f/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b7fd94c0d5726dec353/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b907f82d9763944eba2/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b907f82d9763944eba2/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991c0dd94c0d5726df032a/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/surprised.mpeg,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499226eef1fe70609d66276/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b907f82d9763944eba2/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992031e0daf97163c20229/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bfc63d8b20f56d0e1fb/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b72e0daf97163c09c66/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499226eef1fe70609d66276/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991c3e63d8b20f56d0eeba/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992143ffab6240f9f3787a/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/joyfully.amr,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499205bea5ed167d5bc8a8c/surprised.amr,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992202ea5ed167d5bce5d3/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992031e0daf97163c20229/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/surprised.amr,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499205bea5ed167d5bc8a8c/euphoric.amr,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--649920f4ffab6240f9f3677a/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b6eef1fe70609d48edc/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992202ea5ed167d5bce5d3/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992143ffab6240f9f3787a/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992031e0daf97163c20229/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992099ffab6240f9f3521f/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499205bea5ed167d5bc8a8c/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b7fd94c0d5726dec353/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/joyfully.mpeg,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b72e0daf97163c09c66/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b6eef1fe70609d48edc/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992099ffab6240f9f3521f/euphoric.wav,euphoric
